x,y
-1.0,-0.9999999958776927
-0.916667,-0.9999999781744855
-0.833333,-0.9999998844450362
-0.75,-0.9999993881955461
-0.666667,-0.9999967608116616
-0.583333,-0.9999828502688526
-0.5,-0.9999092042625951
-0.416667,-0.9995193765743621
-0.333333,-0.9974579674738373
-0.25,-0.9866142981514304
-0.166667,-0.9311096086675777
-0.083333,-0.6822617902381699
0.0,0.0
0.083333,0.6822617902381692
0.166667,0.9311096086675775
0.25,0.9866142981514304
0.333333,0.9974579674738373
0.416667,0.9995193765743621
0.5,0.9999092042625951
0.583333,0.9999828502688526
0.666667,0.9999967608116616
0.75,0.9999993881955461
0.833333,0.9999998844450362
0.916667,0.9999999781744855
1.0,0.9999999958776927
