x,y
-1.0,0.038461538461538464
-0.9166666666666666,0.045440201956453145
-0.8333333333333334,0.054462934947049915
-0.75,0.06639004149377593
-0.6666666666666667,0.08256880733944953
-0.5833333333333334,0.1051862673484295
-0.5,0.13793103448275862
-0.41666666666666674,0.1872561768530559
-0.33333333333333337,0.2647058823529412
-0.25,0.3902439024390244
-0.16666666666666674,0.5901639344262293
-0.08333333333333337,0.8520710059171597
0.0,1.0
0.08333333333333326,0.85207100591716
0.16666666666666652,0.5901639344262299
0.25,0.3902439024390244
0.33333333333333326,0.26470588235294124
0.4166666666666665,0.187256176853056
0.5,0.13793103448275862
0.5833333333333333,0.10518626734842952
0.6666666666666665,0.08256880733944957
0.75,0.06639004149377593
0.8333333333333333,0.054462934947049936
0.9166666666666665,0.04544020195645316
1.0,0.038461538461538464
